service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BBL 16_17-399-Weekday-01,1,1,1,1,1,0,0,20160722,20160930
BCC 16_17-BCC_FUL-Friday-01,0,0,0,0,1,0,0,20160722,20160930
BCC 16_17-BCC_SAT-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
BCC 16_17-BCC_SUN-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
BCC 16_17-BCC_FUL-M-Tu-W-Th-01,1,1,1,1,0,0,0,20160725,20160929
BCC 16_17-BCC_FUL-M-Tu-W-Th-01-0110000,0,1,1,0,0,0,0,20160725,20160929
BIC 16_17-BIC_FUL-Weekday-01,1,1,1,1,1,0,0,20160722,20160916
BIC 16_17-BIC_SAT-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
BIC 16_17-BIC_SUN-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
BIC 16_17-BIC_WD-Weekday-02,1,1,1,1,1,0,0,20160808,20160930
BITS 16_17-BITS_WD-Weekday-01,1,1,1,1,1,0,0,20160722,20160916
BITS 16_17-BITS_WD-Weekday-01-0000100,0,0,0,0,1,0,0,20160722,20160916
BITS 16_17-BITS_SAT-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
BITS 16_17-BITS_SUN-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
BITS 16_17-BITS_HSC-Weekday-01,1,1,1,1,1,0,0,20160919,20160930
BITS 16_17-BITS_HSC-Weekday-01-0000100,0,0,0,0,1,0,0,20160919,20160930
BLKS 16_17-BLINK-Weekday-01,1,1,1,1,1,0,0,20160722,20160916
BT 16_17-JUL_HUN-Weekday-01,1,1,1,1,1,0,0,20160722,20160722
BT 16_17-JUL_HUN-Weekday-01-0000100,0,0,0,0,1,0,0,20160722,20160722
BT 16_17-JUL_FUL-Saturday-01,0,0,0,0,0,1,0,20160723,20160723
BT 16_17-JUL_FUL-Sunday-01,0,0,0,0,0,0,1,20160724,20160724
BT 16_17-JUL_FUL-Weekday-02,1,1,1,1,1,0,0,20160725,20160916
BT 16_17-JUL_FUL-Weekday-02-0000100,0,0,0,0,1,0,0,20160725,20160916
BT 16_17-JUL_FUL-Saturday-02,0,0,0,0,0,1,0,20160730,20160924
BT 16_17-JUL_FUL-Sunday-02,0,0,0,0,0,0,1,20160731,20160925
BT 16_17-JUL_PH-Sunday-02,0,0,0,0,0,0,1,20160810,20160810
BT 16_17-JUL_HSC-Weekday-02,1,1,1,1,1,0,0,20160919,20160923
BT 16_17-JUL_HSC-Weekday-02-0000100,0,0,0,0,1,0,0,20160919,20160923
BT 16_17-JUL_UNS-Weekday-02,1,1,1,1,1,0,0,20160926,20160930
BT 16_17-JUL_UNS-Weekday-02-0000100,0,0,0,0,1,0,0,20160926,20160930
CBL 16_17-CBL_FUL-Weekday-01,1,1,1,1,1,0,0,20160722,20160916
CBL 16_17-CBL_FUL-Weekday-01-0001000,0,0,0,1,0,0,0,20160722,20160916
CBL 16_17-CBL_SAT-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
CBL 16_17-CBL_SUN-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
CBL 16_17-CBL_HSC-Weekday-01,1,1,1,1,1,0,0,20160808,20160930
CBL 16_17-CBL_HSC-Weekday-01-0001000,0,0,0,1,0,0,0,20160808,20160930
GCLR 16_17-GCLR2014-Weekday-01,1,1,1,1,1,0,0,20160722,20160930
GCLR 16_17-GCLR2014-Weekday-01-0000100,0,0,0,0,1,0,0,20160722,20160930
GCLR 16_17-GCLR2014-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
GCLR 16_17-GCLR2014-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
HBL 16_17-HBL_FUL-Weekday-06,1,1,1,1,1,0,0,20160722,20160916
HBL 16_17-HBL_FUL-Saturday-03,0,0,0,0,0,1,0,20160723,20160924
HBL 16_17-HBL_FUL-Sunday-03,0,0,0,0,0,0,1,20160724,20160925
HBL 16_17-HBL_FUL-Weekday-02,1,1,1,1,1,0,0,20160808,20160808
HBL 16_17-HBL_FUL-Weekday-03,1,1,1,1,1,0,0,20160810,20160810
HBL 16_17-HBL_HOL-Weekday-02,1,1,1,1,1,0,0,20160919,20160930
KBL 16_17-KBL_FUL-Weekday-01,1,1,1,1,1,0,0,20160722,20160916
KBL 16_17-KBL_FUL-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
KBL 16_17-KBL_FUL-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
KBL 16_17-KBL_EKK-Sunday-00,0,0,0,0,0,0,1,20160808,20160808
KBL 16_17-KBL_HOL-Weekday-01,1,1,1,1,1,0,0,20160919,20160930
LBS 16_17-539-Weekday-01,1,1,1,1,1,0,0,20160722,20160930
LBS 16_17-539-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
LBS 16_17-539-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
LCBS 16_17-LCBS_FUL-Weekday-01,1,1,1,1,1,0,0,20160722,20160916
LCBS 16_17-LCBS_FUL-Weekday-01-0001000,0,0,0,1,0,0,0,20160722,20160916
LCBS 16_17-LCBS_FUL-Weekday-01-0000100,0,0,0,0,1,0,0,20160722,20160916
LCBS 16_17-LCBS_SAT-Saturday-01,0,0,0,0,0,1,0,20160723,20160924
LCBS 16_17-LCBS_SUN-Sunday-01,0,0,0,0,0,0,1,20160724,20160925
LCBS 16_17-LCBS_HSC-Weekday-02,1,1,1,1,1,0,0,20160808,20160808
LCBS 16_17-LCBS_HSC-Weekday-02-0001000,0,0,0,1,0,0,0,20160808,20160808
